Beat_Code,Neighborhood_Name,beatNumber
122 Pacific Beach (Northern),MIRAMAR RANCH NORTH,122
621 Linda Vista (Western),TORREY HIGHLANDS,621
622 Morena (Western),MISSION BAY,622
712 San Ysidro (Southern),NORTH CITY,712
523 Gaslamp (Central),LOMA PORTAL,523
714 Border (Southern),GASLAMP,714
242 Mira Mesa (Northeastern),HILLCREST,242
627 Hillcrest (Western),SOUTH PARK,627
445 Chollas View (Southeastern),NORTH PARK,445
434 Jamacha/Lomita (Southeastern),SOUTHCREST,434
327 College East (Eastern),TERALTA WEST,327
246 Miramar Ranch North (Northeastern),AZALEA/HOLLYWOOD PARK,246
524 Core-Columbia (Central),MT HOPE,524
723 Otay Mesa West (Southern),TERALTA EAST,723
436 Skyline (Southeastern),CHOLLAS VIEW,436
312 Tierra Santa (Eastern),RIDGEVIEW/WEBSTER,312
611 Midway District (Western),COLINA DEL SOL,611
725 Ocean Crest (Southern),PARADISE HILLS,725
315 Mission Valley East (Eastern),BAY TERRACES,315
512 Logan Heights (Central),SORRENTO VALLEY,512
612 Loma Portal (Western),SERRA MESA,612
541 Petco Park (Central),RANCHO BERNARDO,541
999 Unknown (Unknown),OCEAN CREST,999
447 Ridgeview/Webster (Southeastern),LA PLAYA,447
241 Scripps Ranch (Northeastern),ROSEVILLE / FLEET RIDGE,241
528 Little Italy (Central),HORTON PLAZA,528
115 University City (Northern),CORE-COLUMBIA,115
624 University Heights (Western),SHERMAN HEIGHTS,624
123 Mission Bay Park (Northern),BURLINGAME,123
446 Lincoln Park (Southeastern),STOCKTON,446
444 Mt. Hope (Southeastern),NORMAL HEIGHTS,444
311 Serra Mesa (Eastern),MOUNTAIN VIEW,311
233 Rancho Penasquitos (Northeastern),EMERALD HILLS,233
433 Encanto (Southeastern),REDWOOD VILLAGE/ROLANDO PARK,433
724 Palm City (Southern),ENCANTO,724
721 Egger Highlands (Southern),QUALCOMM,721
936 Torrey Highlands (Northwestern),MIRA MESA,936
114 North Clairemont (Northern),SAN CARLOS,114
831 Teralta East (Mid-City),RANCHO PENASQUITOS,831
441 Mountain View (Southeastern),SUNSET CLIFFS,441
112 Clairemont Mesa West (Northern),WOODED AREA,112
521 East Village (Central),PACIFIC BEACH,521
813 North Park (Mid-City),CARMEL VALLEY,813
933 Del Mar Heights (Northwestern),MISSION HILLS,933
451 Oak Park (Southeastern),CHEROKEE POINT,451
832 Teralta West (Mid-City),CORRIDOR,832
826 Colina Del Sol (Mid-City),SWAN CANYON,826
517 Golden Hill (Central),ISLENAIR,517
116 Bay Park (Northern),COLLEGE WEST,116
722 Nestor (Southern),BROADWAY HEIGHTS,722
113 Bay Ho (Northern),ALLIED GARDENS,113
811 Normal Heights (Mid-City),SKYLINE,811
522 Marina (Central),LAKE MURRAY,522
825 Kensington (Mid-City),UNIVERSITY CITY,825
234 Rancho Bernardo (Northeastern),EGGER HIGHLANDS,234
243 Miramar (Northeastern),TIJUANA RIVER VALLEY,243
511 Barrio Logan (Central),SAN YSIDRO,511
625 Old Town (Western),OLD TOWN,625
828 Fox Canyon (Mid-City),MORENA,828
824 Talmadge (Mid-City),MIDTOWN,824
821 Rolando (Mid-City),FAIRMONT VILLAGE,821
827 Chollas Creek (Mid-City),LINCOLN PARK,827
321 Grantville (Eastern),CHOLLAS CREEK,321
124 La Jolla (Northern),GRANTVILLE,124
325 San Carlos (Eastern),DEL CERRO,325
618 Sunset Cliffs (Western),CARMEL MOUNTAIN,618
516 Stockton (Central),SAN PASQUAL,516
442 Southcrest (Southeastern),OCEAN BEACH,442
313 Kearney Mesa (Eastern),MISSION BAY PARK,313
834 Castle (Mid-City),LA JOLLA,834
626 Mission Hills (Western),TORREY PINES,626
111 Clairemont Mesa East (Northern),BAY HO,111
324 Lake Murray (Eastern),HARBORVIEW,324
623 Mission Valley West (Western),PARK WEST,623
514 Sherman Heights (Central),LINDA VISTA,514
438 Paradise Hills (Southeastern),GOLDEN HILL,438
431 Emerald Hills (Southeastern),SHELLTOWN,431
814 Adams North (Mid-City),CASTLE,814
839 Cherokee Point (Mid-City),VALENCIA PARK,839
432 Valencia Park (Southeastern),COLLEGE EAST,432
823 Redwood Village (Mid-City),CLAIREMONT MESA EAST,823
443 Shelltown (Southeastern),TIERRASANTA,443
232 Carmel Mountain (Northeastern),SCRIPPS RANCH,232
437 Bay Terraces (Southeastern),BLACK MOUNTAIN RANCH,437
614 Ocean Beach (Western),RANCHO ENCANTADA,614
935 North City (Northwestern),MISSION BEACH,935
617 Wooded Area (Western),MIDWAY DISTRICT,617
713 Otay Mesa (Southern),PETCO PARK,713
529 Park West (Central),BALBOA PARK,529
314 Birdland (Eastern),BARRIO LOGAN,314
515 Grant Hill (Central),FOX CANYON,515
322 Allied Gardens (Eastern),TALMADGE,322
931 Sorrento Valley (Northwestern),ROLANDO,931
121 Mission Beach (Northern),OTAY MESA,121
531 Balboa Park (Central),POINT LOMA HEIGHTS,531
934 Carmel Valley (Northwestern),NESTOR,934
822 El Cerrito (Mid-City),BAY PARK,822
326 College West (Eastern),MARINA,326
833 Fairmount Village (Mid-City),CORTEZ,833
323 Del Cerro (Eastern),EAST VILLAGE,323
628 Midtown (Western),UNIVERSITY HEIGHTS,628
526 Cortez (Central),GRANT HILL,526
235 San Pasqual (Northeastern),ADAMS NORTH,235
837 Fairmount Park (Mid-City),KENSINGTON,837
613 Point Loma Heights (Western),OAK PARK,613
711 Tijuana River Valley (Southern),NORTH CLAIREMONT,711
835 Azalea/Hollywood Park (Mid-City),BORDER,835
838 Corridor (Mid-City),JAMACHA LOMITA,838
245 Rancho Encantada (Northeastern),TORREY PRESERVE,245
518 South Park (Central),DEL MAR HEIGHTS,518
126 Torrey Pines (Northern),PALM CITY,126
836 Swan Canyon (Mid-City),OTAY MESA WEST,836
452 O'Farrell (Southeastern),LITTLE ITALY,452
615 Roseville/Fleet Ridge (Western),MISSION VALLEY WEST,615
527 Harborview (Central),LOGAN HEIGHTS,527
841 Rolando Park (Mid-City),MISSION VALLEY EAST,841
231 Sabre Springs (Northeastern),FAIRMONT PARK,231
937 Black Mountain Ranch (Northwestern),EL CERRITO,937
812 Burlingame (Mid-City),ALTA VISTA,812
9999 Test (Test),CLAIREMONT MESA WEST,9999
525 Horton Plaza (Central),BIRDLAND,525
932 Torrey Preserve (Northwestern),MIRAMAR,932
316 Qualcomm (Eastern),KEARNY MESA,316
439 Alta Vista (Southeastern),SABRE SPRINGS,439
